Informe, Informe del sistema eléctrico 2023
Título, Evolución de las compras en PDBF de los comercializadores de referencia (COR) y resto de comercializadores
Sistema Eléctrico, Nacional
Magnitud, TWh

"Años";"Comercializador-BIL";"Comercializador-MD";"COR- BIL";"COR-MD"
"2019";90,40311179999999;118,867906;3,8492303;22,509953
"2020";88,0330331;110,777985;6,746086200000001;19,8129958
"2021";97,00102240000001;108,042061;6,237317;19,1436858
"2022";107,452427;96,5502342;4,85034;16,03236
"2023";107,141514;92,02991209999999;4,314453;15,1017553
,
Estado, Información elaborada con datos provisionales a enero del 2024
,
Fecha exportación, 20/04/2024 - 14:45:24
,
Fuente, www.ree.es