"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2000","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2196341,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2001","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2207001,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2002","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2226427,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2003","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2275650,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2004","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2321595,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2005","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2371882,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2006","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2418732,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2007","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2467759,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2008","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2522564,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2009","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2550405,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2010","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2553694,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2011","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2559194,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2012","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2562518,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2013","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2547050,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2014","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2527590,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2015","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2523040,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2016","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2518678,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2017","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2522383,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2018","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2531187,"Total Population"
"nuts/ES523","ES-V","Valencia / València","Count_Person","2019","EurostatData","https://ec.europa.eu/eurostat/data/database","","","",2540588,"Total Population"